Alignment not found |  eše3  | Line no.  398
Alignment not found |  ,  | Line no.  398
Alignment not found |  ;  | Line no.  399
Alignment not found |  ;  | Line no.  400
Alignment not found |  ,  | Line no.  401
Alignment not found |  ,  | Line no.  402
Alignment not found |  ;  | Line no.  403
Alignment not found |  Pu  | Line no.  404
Alignment not found |  ’  | Line no.  404
Alignment not found |  a  | Line no.  404
Alignment not found |  ’  | Line no.  404
Alignment not found |  uz  | Line no.  404
Alignment not found |  ;  | Line no.  404
Alignment not found |  at  | Line no.  405
Alignment not found |  ,  | Line no.  405
Alignment not found |  ;  | Line no.  406
Alignment not found |  ;  | Line no.  407
Alignment not found |  ,  | Line no.  408
Alignment not found |  3  | Line no.  409
Alignment not found |  ;  | Line no.  409
Alignment not found |  ;  | Line no.  410
Alignment not found |  ,  | Line no.  411
Alignment not found |  ,  | Line no.  412
Alignment not found |  ;  | Line no.  413
Alignment not found |  ,  | Line no.  414
Alignment not found |  ;  | Line no.  414
Alignment not found |  ;  | Line no.  415
Alignment not found |  eše3  | Line no.  416
Alignment not found |  ;  | Line no.  416
Alignment not found |  eše3  | Line no.  417
Alignment not found |  at  | Line no.  417
Alignment not found |  ;  | Line no.  417
Alignment not found |  at  | Line no.  418
Alignment not found |  ;  | Line no.  418
Alignment not found |  ,  | Line no.  419
Alignment not found |  ;  | Line no.  419
Alignment not found |  ,  | Line no.  420
Alignment not found |  ;  | Line no.  420
Alignment not found |  ,  | Line no.  421
Alignment not found |  ban2  | Line no.  421
Alignment not found |  ,  | Line no.  422
Alignment not found |  ,  | Line no.  422
Alignment not found |  ;  | Line no.  423
Alignment not found |  ,  | Line no.  424
Alignment not found |  eše3  | Line no.  425
Alignment not found |  at  | Line no.  425
Alignment not found |  ,  | Line no.  425
Alignment not found |  ;  | Line no.  426
Alignment not found |  ;  | Line no.  427
Alignment not found |  ,  | Line no.  428
Alignment not found |  ,  | Line no.  429
Alignment not found |  ;  | Line no.  430
Alignment not found |  ;  | Line no.  431
Alignment not found |  ,  | Line no.  432
Alignment not found |  ,  | Line no.  433
Alignment not found |  eše3  | Line no.  434
Alignment not found |  ,  | Line no.  434
Alignment not found |  ;  | Line no.  435
Alignment not found |  ;  | Line no.  436
Alignment not found |  ,  | Line no.  437
Alignment not found |  ;  | Line no.  438
Alignment not found |  ;  | Line no.  439
Alignment not found |  ,  | Line no.  440
Alignment not found |  eše3  | Line no.  441
Alignment not found |  ,  | Line no.  441
Alignment not found |  at  | Line no.  442
Alignment not found |  ,  | Line no.  442
Alignment not found |  ,  | Line no.  443
Alignment not found |  ;  | Line no.  445
Alignment not found |  at  | Line no.  446
Alignment not found |  ,  | Line no.  446
Alignment not found |  ;  | Line no.  447
Alignment not found |  ;  | Line no.  448
Alignment not found |  ,  | Line no.  449
Alignment not found |  ,  | Line no.  450
Alignment not found |  ,  | Line no.  451
Alignment not found |  ;  | Line no.  452
Alignment not found |  ;  | Line no.  453
Alignment not found |  ,  | Line no.  454
Alignment not found |  ,  | Line no.  455
Alignment not found |  ;  | Line no.  456
Alignment not found |  ;  | Line no.  458
Alignment not found |  eše3  | Line no.  459
Alignment not found |  ;  | Line no.  459
Alignment not found |  eše3  | Line no.  460
Alignment not found |  ;  | Line no.  460
Alignment not found |  eše3  | Line no.  461
Alignment not found |  at  | Line no.  461
Alignment not found |  ;  | Line no.  461
Alignment not found |  eše3  | Line no.  462
Alignment not found |  at  | Line no.  462
Alignment not found |  ;  | Line no.  462
Alignment not found |  ;  | Line no.  463
Alignment not found |  ,  | Line no.  464
Alignment not found |  ban2  | Line no.  464
Alignment not found |  ;  | Line no.  465
Alignment not found |  eše3  | Line no.  466
Alignment not found |  at  | Line no.  466
Alignment not found |  ,  | Line no.  466
Alignment not found |  ,  | Line no.  467
Alignment not found |  ;  | Line no.  468
Alignment not found |  ;  | Line no.  469
Alignment not found |  ;  | Line no.  470
Alignment not found |  ;  | Line no.  471
Alignment not found |  eše3  | Line no.  472
Alignment not found |  ,  | Line no.  472
Alignment not found |  ;  | Line no.  473
Alignment not found |  ;  | Line no.  474
Alignment not found |  at  | Line no.  475
Alignment not found |  ,  | Line no.  475
Alignment not found |  at  | Line no.  476
Alignment not found |  ,  | Line no.  476
Alignment not found |  ;  | Line no.  477
Alignment not found |  ;  | Line no.  478
Alignment not found |  ;  | Line no.  479
Alignment not found |  eše3  | Line no.  480
Alignment not found |  at  | Line no.  480
Alignment not found |  ,  | Line no.  480
Alignment not found |  ,  | Line no.  481
Alignment not found |  ,  | Line no.  482
Alignment not found |  of  | Line no.  482
Alignment not found |  the  | Line no.  482
Alignment not found |  :  | Line no.  482
Alignment not found |  at  | Line no.  482
Alignment not found |  ,  | Line no.  482
Alignment not found |  ;  | Line no.  482
Alignment not found |  ;  | Line no.  483
Alignment not found |  ;  | Line no.  484
Alignment not found |  ,  | Line no.  485
Alignment not found |  ;  | Line no.  486
Alignment not found |  ;  | Line no.  487
Alignment not found |  ,  | Line no.  488
Alignment not found |  ,  | Line no.  489
Alignment not found |  ;  | Line no.  490
Alignment not found |  ,  | Line no.  492
Alignment not found |  ,  | Line no.  493
Alignment not found |  of  | Line no.  493
Alignment not found |  the  | Line no.  493
Alignment not found |  :  | Line no.  493
Alignment not found |  ,  | Line no.  493
Alignment not found |  ;  | Line no.  493
Alignment not found |  ;  | Line no.  494
Alignment not found |  ;  | Line no.  495
Alignment not found |  ,  | Line no.  496
Alignment not found |  ,  | Line no.  497
Alignment not found |  ;  | Line no.  498
Alignment not found |  ;  | Line no.  499
Alignment not found |  eše3  | Line no.  500
Alignment not found |  ,  | Line no.  500
Alignment not found |  ;  | Line no.  501
Alignment not found |  ,  | Line no.  503
Alignment not found |  eše3  | Line no.  504
Alignment not found |  ,  | Line no.  504
Alignment not found |  ;  | Line no.  505
Alignment not found |  ;  | Line no.  506
Alignment not found |  ,  | Line no.  507
Alignment not found |  ,  | Line no.  508
Alignment not found |  eše3  | Line no.  509
